title,beds,bath,area,adress,type,purpose,flooPlan,url,lastUpdated,price
1975 Sq. ft And 3 Bedroom Apartment For Rent In Bashundhara R-a Near Madinatul Ulum Madrasa Masjid.,3 ,3 ,"1,975 sqft","Block J, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-1931972.html,"February 12, 2023",34 Thousand
Express Your Individuality At This 2200 Sq. ft Apartment Which Is Vacant For Rent In Banasree Staff Quarter Demra Link Road.,4 ,3 ,"2,200 sqft","South Banasree Project, Banasree, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1501817-240x180.webp,https://www.bproperty.com/en/property/details-4598361.html,"January 29, 2023",30 Thousand
1750 Sq Ft Apartment Is Up For Rent In A Wonderful Locality Of Banani,2 ,2 ,"1,750 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1571178-240x180.webp,https://www.bproperty.com/en/property/details-4123237.html,"February 16, 2023",60 Thousand
Properly Designed This 1400 Sq Ft Flat Is Now Up For Rent In Mirpur 11,3 ,3 ,"1,400 sqft","Block A, Section 11, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-3714519.html,"February 13, 2023",22 Thousand
"An Apartment Is Ready For Rent At Bashundhara R-A, Very Near To Viquarunnisa Noon School and College.",3 ,4 ,"2,200 sqft","Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-1936852.html,"November 26, 2022",35 Thousand
1240 Sq Ft Apartment For Rent In Shantinagar,3 ,3 ,"1,240 sqft","Shantinagar, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-4585427.html,"February 12, 2023",25 Thousand
Check This Beautiful Flat For Rent Which Is 2500 Sq Ft Located In Banani,3 ,4 ,"2,500 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-3018034.html,"February 12, 2023",90 Thousand
A Decent 600 Sq Ft Flat Is Now To Rent In Mohammadpur,2 ,2 ,600 sqft,"Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-4648878.html,"February 19, 2023",12 Thousand
"Apartment For Rent In Uttara, Near Radical Hospitals",3 ,3 ,"1,630 sqft","Sector 12, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1523061-400x300.webp,https://www.bproperty.com/en/property/details-1968999.html,"February 13, 2023",35 Thousand
"Near Nsu, 1806 Sq. Ft Flat For Rent In Bashundhara R-a",3 ,3 ,"1,806 sqft","Block C, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-1961834.html,"February 16, 2023",35 Thousand
"A 1600 Sq. Ft Apartment Is Up For Rent In Uttara , Near South Breeze School",3 ,3 ,"1,600 sqft","Sector 11, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1562377-400x300.webp,https://www.bproperty.com/en/property/details-1979145.html,"February 13, 2023",32 Thousand
"Residential Place For Rent In Banani Dohs, Masjid Road",4 ,5 ,"3,590 sqft","Banani DOHS, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/39772-400x300.webp,https://www.bproperty.com/en/property/details-5055576.html,"February 19, 2023",1.8 Lakh
Affordable And Beautiful Flat Is Up For Rent In Uttara Which Is 1500 Sq Ft,3 ,3 ,"1,500 sqft","Sector 10, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1571790-240x180.webp,https://www.bproperty.com/en/property/details-5209087.html,"January 30, 2023",50 Thousand
Completely suitable and ready flat of 1200 SQ FT for rent in Bashundhara R-A,3 ,3 ,"1,200 sqft","Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/876893-400x300.webp,https://www.bproperty.com/en/property/details-5451861.html,"November 28, 2022",17 Thousand
We Are Offering You A Nice 1360 Sq Ft Flat Ready For Rent In Dhanmondi,3 ,3 ,"1,360 sqft","Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1251341-400x300.webp,https://www.bproperty.com/en/property/details-3077390.html,"February 2, 2023",55 Thousand
"Beautiful and well-constructed 2170 SQ Ft apartment is ready for rent at Road No 86, Gulshan 2 nearby Gulshan Health Club.",3 ,3 ,"2,170 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-1772160.html,"February 1, 2023",60 Thousand
Pursue This Great Apartment For Rent In Uttara Nearby Uttara Thana,3 ,4 ,"1,600 sqft","Sector 11, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1257631-400x300.webp,https://www.bproperty.com/en/property/details-1962090.html,"March 31, 2022",65 Thousand
"Smartly Priced 1370 Sq Ft Flat, That You Should Check In Adabor",3 ,3 ,"1,370 sqft","Baitul Aman Housing Society, Adabor, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/670935-400x300.webp,https://www.bproperty.com/en/property/details-5300865.html,"February 19, 2023",23 Thousand
"This Comfortable And Beautiful Apartment Of 500 Sq Ft, In New Market Is For Rent",1 Bed,1 Bath,500 sqft,"New Market, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1251341-400x300.webp,https://www.bproperty.com/en/property/details-3086651.html,"January 24, 2023",16 Thousand
At Tolarbag flat for Rent close to Tolarbag Jame Masjid,3 ,3 ,"1,200 sqft","Section 1, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-1874447.html,"February 12, 2023",20 Thousand
Near Baridhara Jame Masjid A Well Planned Flat For Rent Is Available In Baridhara,4 ,4 ,"3,200 sqft","Block K, Baridhara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/8464-240x180.webp,https://www.bproperty.com/en/property/details-1877697.html,"September 12, 2022",1.65 Lakh
1365 SQ FT flat is now to rent which is in Pahartali near to Pahartali Eye Hospital,3 ,3 ,"1,365 sqft","Rose Valley Residential Area, 9 No. North Pahartali Ward, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-2016586.html,"January 14, 2023",20 Thousand
An Amazing Apartment Of 2560 Sq Ft Flat Ready For Rent In The Prime Location Of Dhanmondi,3 ,4 ,"2,560 sqft","Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-4458425.html,"January 31, 2023",50 Thousand
Affordable And Beautiful Flat Is Up For Rent In Ibrahimpur Which Is 1250 Sq Ft,3 ,3 ,"1,250 sqft","Ibrahimpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-5554217.html,"February 13, 2023",19 Thousand
"Comfortable And Well Designed Home Of 2400 Sq Ft In Uttara Sector 10 For Rent, Near Ranavola Baitun Noor Jame Masjid",3 ,3 ,"2,400 sqft","Sector 10, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1208482-240x180.webp,https://www.bproperty.com/en/property/details-1769067.html,"July 2, 2022",60 Thousand
"Apartment of 1800 SQ FT for rent in Banani, near Southeast University, Department of BBA",3 ,3 ,"1,800 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-1847581.html,"February 12, 2023",80 Thousand
Properly Designed This 1250 Sq Ft Flat Is Now Up For Rent In Mirpur 10,3 ,3 ,"1,250 sqft","Block C, Section 10, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-3030249.html,"February 12, 2023",27 Thousand
Visit This 1800 Sq Ft Nice Apartment Which Is Available To Rent In Uttara -4,3 ,3 ,"1,800 sqft","Sector 4, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1540558-400x300.webp,https://www.bproperty.com/en/property/details-5433585.html,"February 12, 2023",60 Thousand
Well-Fitted Residential Apartment For Rent In Uttara 13.,2 ,2 ,900 sqft,"Sector 13, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-4931345.html,"January 22, 2023",18.6 Thousand
"This 1615 Sq Ft Flat With Great Rooms Is Up For Rent In Dhanmondi, Shukrabad",3 ,3 ,"1,615 sqft","Shukrabad, Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5542853.html,"February 2, 2023",32 Thousand
Grab This Amazing 1240 Sq Ft Flat For Rent In Shantinagar,3 ,3 ,"1,240 sqft","Shantinagar, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1523695-400x300.webp,https://www.bproperty.com/en/property/details-4585451.html,"February 12, 2023",25 Thousand
Find This 3350 Sq Ft Nice Flat Available To Rent In Uttara 4,4 ,4 ,"3,350 sqft","Shayesta Khan Ave, Sector 4, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1540558-400x300.webp,https://www.bproperty.com/en/property/details-4759151.html,"February 12, 2023",1 Lakh
We Are Offering You A Spacious 1375 Sq Ft Flat For Rent In Banani Near To Banani Model School,3 ,3 ,"1,375 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1540558-400x300.webp,https://www.bproperty.com/en/property/details-1747902.html,"February 10, 2023",80 Thousand
Near Kacha Bazar flat for rent in Uttara,4 ,4 ,"3,500 sqft","Sector 7, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/922784-400x300.webp,https://www.bproperty.com/en/property/details-1884530.html,"February 10, 2023",1.3 Lakh
4000 Sq Ft Residential Duplex For Rent In Banani,5 ,6 ,"4,000 sqft","Banani, Dhaka",Duplex,For Rent,https://images-cdn.bproperty.com/thumbnails/1570324-240x180.webp,https://www.bproperty.com/en/property/details-5548240.html,"January 30, 2023",4.2 Lakh
"Built With Modern Amenities, Check This Flat For Rent Which Is 2000 Sq Ft In Banani",3 ,3 ,"2,000 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/435756-400x300.webp,https://www.bproperty.com/en/property/details-5515475.html,"February 14, 2023",80 Thousand
"See, this 1807 SQ Ft beautiful apartment and make it your new home which is up for rent in Mohammadpur nearby Baitus Salam Jame Masjid.",3 ,4 ,"1,807 sqft","Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1460638-400x300.webp,https://www.bproperty.com/en/property/details-1778793.html,"January 23, 2023",47 Thousand
Ensure A Luxurious And Comfy Lifestyle In This 2300 Sq Ft Apartment For Rent In Bashundhara,4 ,4 ,"2,300 sqft","Block D, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1569750-400x300.webp,https://www.bproperty.com/en/property/details-4832059.html,"February 12, 2023",50 Thousand
"Checkout This Brand New Flat Of 2300 Sq Ft Up For Rent In Bashundhara R/a, Block D",4 ,4 ,"2,300 sqft","Block D, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/435756-400x300.webp,https://www.bproperty.com/en/property/details-4832058.html,"February 12, 2023",50 Thousand
"Establish Your Peace In This Nice 1500 Sq Feet Apartment For Rent At Baridhara , Block J .",3 ,4 ,"1,500 sqft","Block J, Baridhara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/435756-400x300.webp,https://www.bproperty.com/en/property/details-5500769.html,"February 15, 2023",35 Thousand
Nice 3000 Sq Ft Apartment Is Available To Rent In Baridhara Dohs,4 ,4 ,"3,000 sqft","Baridhara DOHS, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1568090-240x180.webp,https://www.bproperty.com/en/property/details-3416835.html,"January 30, 2023",1.2 Lakh
Beautifully Constructed 1288 Sq Ft Flat Is Available To Rent In Hatirpool,3 ,2 ,"1,288 sqft","Hatirpool, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1460638-400x300.webp,https://www.bproperty.com/en/property/details-5377460.html,"February 19, 2023",35 Thousand
For Rental Purpose 1472 Square Feet Well-constructed Apartment Is Available In Hatirpool,3 ,2 ,"1,472 sqft","Hatirpool, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-5377461.html,"February 19, 2023",40 Thousand
"Take This Nice 3000 Sq Ft rental Apartment in Uttara 13, To Fulfill Your Wish",3 ,5 ,"3,000 sqft","Sector 13, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1525802-240x180.webp,https://www.bproperty.com/en/property/details-3051877.html,"January 2, 2023",70 Thousand
Let Us Help You To Rent This 2250 Sq Ft Flat Which Is Now Available In Bashundhara R-A,3 ,3 ,"2,250 sqft","Block J, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1539081-240x180.webp,https://www.bproperty.com/en/property/details-3836608.html,"February 12, 2023",35 Thousand
"1050 Sq Ft Flat With Comfy Rooms Is For Rent In West Kazipara, Mirpur",3 ,2 ,"1,050 sqft","West Kazipara, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570033-240x180.webp,https://www.bproperty.com/en/property/details-5430667.html,"January 9, 2023",17 Thousand
1500 Sq Ft Flat For Rent In Khulshi Near Radiant School And College,3 ,3 ,"1,500 sqft","Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/779564-400x300.webp,https://www.bproperty.com/en/property/details-1880813.html,"January 23, 2022",26 Thousand
Ready Flat 1200 Sq Ft Is Now For Rent In Dakshin Khan Near By Roman Market,3 ,2 ,"1,200 sqft","Madhya Ajampur, Dakshin Khan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570955-240x180.webp,https://www.bproperty.com/en/property/details-1768279.html,"January 28, 2023",18 Thousand
"Take A Quick Look At This 1400 Sq Ft Flat For Rent In Zakir Hossain Housing Society, South Khulshi",3 ,3 ,"1,400 sqft","Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/435756-400x300.webp,https://www.bproperty.com/en/property/details-5450176.html,"January 25, 2022",30 Thousand
Get comfortable in a 800 SQ FT flat for rent in Mohammadpur,2 ,2 ,800 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-3012317.html,"April 4, 2022",13.5 Thousand
"This Ample 2595 Sq Ft Apartment Is Up For Rent In Sonargaon Janapath, Uttara-12",3 ,3 ,"2,595 sqft","Sector 12, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/533616-400x300.webp,https://www.bproperty.com/en/property/details-5451607.html,"January 26, 2022",60 Thousand
"1000 Sq Ft Flat With Great Rooms Is Available For Rent In Bashundhara R-a, Block F",3 ,2 ,"1,000 sqft","Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-3648620.html,"February 12, 2023",22 Thousand
1800 Sq Ft Flat With Great Views Is Available For Rent In Bashundhara R-a,3 ,4 ,"1,800 sqft","Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/26618-400x300.webp,https://www.bproperty.com/en/property/details-4856110.html,"February 12, 2023",35 Thousand
Offering you 2000 SQ FT flat to Rent in Gulshan near to City Bank,3 ,3 ,"2,000 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1534478-400x300.webp,https://www.bproperty.com/en/property/details-1998986.html,"March 8, 2022",1.2 Lakh
Near To Chapra Masjid 700 Sq. Ft Flat For Rent In Bashundhara R-A,2 ,2 ,700 sqft,"Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5059164.html,"January 21, 2023",17 Thousand
2500 Square Feet Amazing Home Is Up For Rent In Uttara Near To Lubana General Hospital & Uttara Cardiac Center,3 ,4 ,"2,500 sqft","Sector 13, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/463965-400x300.webp,https://www.bproperty.com/en/property/details-1816455.html,"August 1, 2022",70 Thousand
Apartment For Rent In Uttara Nearby Mollartek Udayan School And College,3 ,3 ,"2,153 sqft","Sector 4, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1558228-240x180.webp,https://www.bproperty.com/en/property/details-1864249.html,"November 17, 2022",50 Thousand
Well Built And Properly Designed Residential Property Of 1910 Sq Ft In Bashundhara R-a Is For Rent.,4 ,3 ,"1,910 sqft","Block D, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1219305-240x180.webp,https://www.bproperty.com/en/property/details-5007644.html,"January 11, 2023",50 Thousand
A Well Designed Apartment Is Waiting For Rent At Banani Nearby Banani Bidyaniketan School & College,4 ,5 ,"2,960 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1547229-400x300.webp,https://www.bproperty.com/en/property/details-1922301.html,"January 30, 2023",1.1 Lakh
"900 Square Feet Apartment For Rent In Adabor, Janata Housing Society",2 ,2 ,900 sqft,"Janata Housing Society, Adabor, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1547229-400x300.webp,https://www.bproperty.com/en/property/details-4125598.html,"February 19, 2023",17 Thousand
Nice 750 SQ FT apartment is available to Rent in Bangshal,3 ,2 ,750 sqft,"Bangshal, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-2046741.html,"February 9, 2023",20 Thousand
Well Organized Flat Of 1450 Sq Ft Is Vacant For Rent In Banani,3 ,4 ,"1,450 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-2075954.html,"January 10, 2023",72 Thousand
800 Sq Ft Apartment For Rent In Dakshin Khan,2 ,2 ,800 sqft,"Madhya Ajampur, Dakshin Khan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570993-240x180.webp,https://www.bproperty.com/en/property/details-2051123.html,"January 16, 2023",13 Thousand
Check This Beautiful 1250 Sq Ft Flat For Rent At Banasree,3 ,3 ,"1,250 sqft","Block J, Banasree, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-2038791.html,"January 14, 2023",20 Thousand
600 Sq Ft Apartment Is Up For Rent In Lalbagh,2 ,1 Bath,600 sqft,"Lalbagh Road, Lalbagh, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1562154-400x300.webp,https://www.bproperty.com/en/property/details-5553425.html,"February 9, 2023",12 Thousand
View This 600 Sq Ft Apartment For Rent In Lalbagh,2 ,1 Bath,600 sqft,"Lalbagh Road, Lalbagh, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5553426.html,"February 9, 2023",12 Thousand
950 Square Feet Apartment For Rent In Mirpur-11,3 ,2 ,950 sqft,"Block B, Section 11, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5553432.html,"February 9, 2023",13 Thousand
950 Square Feet Comfy Apartment For Rent In Mirpur-11,3 ,2 ,950 sqft,"Block B, Section 11, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5553434.html,"February 9, 2023",13 Thousand
Get This 950 Square Feet Apartment For Rent In Mirpur-11,3 ,2 ,950 sqft,"Block B, Section 11, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5553436.html,"February 9, 2023",13 Thousand
2300 Sq Ft Apartment With Modern Home Services Is Ready For Rent In Banani,3 ,3 ,"2,300 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5479988.html,"February 9, 2023",1.6 Lakh
"Plan To Live In This 1000 Sq Ft Flat Available For Rent In Bashundhara R-a, Block F",3 ,2 ,"1,000 sqft","Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5550545.html,"February 12, 2023",22 Thousand
Worthy 900 Sq Ft Nice Home Is Ready To Rent At Ibrahimpur,3 ,2 ,900 sqft,"Ibrahimpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/118780-400x300.webp,https://www.bproperty.com/en/property/details-5554214.html,"February 13, 2023",16 Thousand
650 Square Feet Residential Flat For Rent In East Merul Badda,2 ,2 ,650 sqft,"East Merul Badda, Merul Badda, Badda, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1571161-400x300.webp,https://www.bproperty.com/en/property/details-5474513.html,"February 8, 2023",16 Thousand
"720 Sq Ft Flat With Great Features Is For Rent In Mohammadpur, Katashur",2 ,2 ,720 sqft,"Katashur, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1418124-400x300.webp,https://www.bproperty.com/en/property/details-5553633.html,"February 19, 2023",17 Thousand
"Visit This Full Furnished 4400 Sq Ft Flat For Rent At Road No 86, Gulshan 2 Near To Gulshan Model School & College.",5 ,5 ,"4,400 sqft","Gulshan 2, Gulshan, Dhaka",Duplex,For Rent,https://images-cdn.bproperty.com/thumbnails/1533750-400x300.webp,https://www.bproperty.com/en/property/details-1772179.html,"January 26, 2023",2.8 Lakh
"We Are Delighted To Offer This Stunning 2400 Sq Ft Apartment For Rent, Located In Gulshan 1",3 ,3 ,"2,400 sqft","Gulshan 1, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1418124-400x300.webp,https://www.bproperty.com/en/property/details-3385746.html,"January 2, 2023",1 Lakh
"Choose Your Destination, 3500 Sq Ft Furnished Flat Which Is Available For Rent In Gulshan Near To Union Bank",4 ,4 ,"3,500 sqft","Gulshan 1, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/118780-400x300.webp,https://www.bproperty.com/en/property/details-1710215.html,"February 15, 2022",1.4 Lakh
"A Nice Residential Flat Of 1100 Sq Ft, For Rent, Can Be Found In Sholokbahar Near Kapashgola Jamtola Jame Masjid",3 ,2 ,"1,100 sqft","Sholokbahar, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/118780-400x300.webp,https://www.bproperty.com/en/property/details-1772974.html,"December 22, 2021",15 Thousand
"See, this 1400 SQ Ft beautiful apartment and make it your new home which is up for rent in South Khulsi, Road No 03 nearby South Kulshi Masjid.",3 ,3 ,"1,400 sqft","Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/118780-400x300.webp,https://www.bproperty.com/en/property/details-1788648.html,"January 25, 2022",28 Thousand
Find 1500 Sq Ft Flat Available For Rent In South Khulsi Near To South Khulsi Jame Masjid,3 ,3 ,"1,500 sqft","Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1562154-400x300.webp,https://www.bproperty.com/en/property/details-1808828.html,"January 23, 2022",26 Thousand
"1600 Sq Ft Apartment Is For Rent In The Great Locality Of Mirpur-3, Block J",3 ,4 ,"1,600 sqft","Block J, Section 3, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567039-400x300.webp,https://www.bproperty.com/en/property/details-5451053.html,"February 12, 2023",22 Thousand
A 1800 Sq Ft Flat With 4 Bedrooms Is Up For Rent In Mirpur-3,4 ,4 ,"1,800 sqft","Block J, Section 3, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-5451065.html,"February 12, 2023",25 Thousand
"2000 Sq Ft Lovely Apartment For Rent In Banasree, Block G",4 ,4 ,"2,000 sqft","Block G, Banasree, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1066807-400x300.webp,https://www.bproperty.com/en/property/details-5552566.html,"February 14, 2023",35 Thousand
"Visit This 2000 Sq Ft Apartment For Rent In Banasree, Block G",4 ,4 ,"2,000 sqft","Block G, Banasree, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/85865-400x300.webp,https://www.bproperty.com/en/property/details-5552570.html,"February 14, 2023",35 Thousand
"A 1280 Sq Ft Apartment Is Up For Rent In Mirpur, Section 11 Close By Kfc Mirpur",3 ,3 ,"1,280 sqft","Block D, Section 11, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/297515-400x300.webp,https://www.bproperty.com/en/property/details-1691418.html,"January 31, 2023",22 Thousand
"Flat Can Be Found In Bashundhara For Rent, Near Trust Bank Limited",3 ,3 ,"1,500 sqft","Block A, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1544893-400x300.webp,https://www.bproperty.com/en/property/details-1872100.html,"February 16, 2023",35 Thousand
Check Out This Residential Duplex For Rent In Bashundhara R-a Which Is 3400 Sq Ft,6 ,6 ,"3,400 sqft","Block G, Bashundhara R-A, Dhaka",Duplex,For Rent,https://images-cdn.bproperty.com/thumbnails/1173085-240x180.webp,https://www.bproperty.com/en/property/details-5080009.html,"December 29, 2022",1 Lakh
1400 Square Feet Residential Apartment Is Available For Rent In Uttara-3,3 ,3 ,"1,400 sqft","Sector 3, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1540340-240x180.webp,https://www.bproperty.com/en/property/details-4562916.html,"July 1, 2022",35 Thousand
View 1300 Sq Ft Apartment Ready To Rent In Mirpur Dohs,3 ,3 ,"1,300 sqft","Mirpur DOHS, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1544893-400x300.webp,https://www.bproperty.com/en/property/details-5553252.html,"February 8, 2023",30 Thousand
